id,address,city,state,zip,county,Activities,pet_friendly,camp_type,natural_features,num_enc
40,"8101 Northwind Avenue","Anchorage ",AK,99504,Anchorage,"Climbing, Hiking",NO,Tents,"Forest, Mountains",2
41,"11330 Elmore Road","Anchorage ",AK,99516,Anchorage,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",2
42,"249 Yellow Leaf Circle","Anchorage ",AK,99504,Anchorage,Hiking,NO,"Lodging, RVs, Tents",Forest,2
43,"3301 Old Muldoon Road","Anchorage ",AK,99504,Anchorage,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",2
44,"12901 Mission Circle","Anchorage ",AK,99516,Anchorage,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",2
45,"10383 Eagle River Lane","Anchorage ",AK,99577,Anchorage,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
46,"6755 Mulberry Drive","Anchorage ",AK,99502,Anchorage,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",2
47,"22524 Sambar Loop","Anchorage ",AK,99567,Anchorage,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
48,"4900 Cambridge Way","Anchorage ",AK,99503,Bethel,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
49,"10980 Splendor Loop","Anchorage ",AK,99577,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
50,"2944 Sheldon Jackson Street","Anchorage ",AK,99508,Anchorage,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",2
51,"3321 Eureka Street","Anchorage ",AK,99503,Bethel,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
52,"13501 Vasili Drive","Anchorage ",AK,99577,Anchorage,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",2
53,"4221 Thompson Avenue","Anchorage ",AK,99508,Anchorage,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",2
54,"4800 Huffman Road","Anchorage ",AK,99516,Anchorage,Hiking,NO,"Lodging, RVs, Tents",Forest,2
55,"1711 Lore Road","Anchorage ",AK,99507,Anchorage,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
56,"7420 Bearfoot Circle","Anchorage ",AK,99502,Anchorage,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",2
57,"12022 Town Park Circle","Anchorage ",AK,99577,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
58,"4516 Old Seward Highway","Anchorage ",AK,99503,Bethel,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
59,"2555 West 69th Court","Anchorage ",AK,99502,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
60,"403 Irwin Street","Anchorage ",AK,99508,Anchorage,Hiking,NO,"Lodging, RVs, Tents",Forest,2
61,"3720 West 86th Avenue","Anchorage ",AK,99502,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
62,"600 West 19th Avenue","Anchorage ",AK,99503,Bethel,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
63,"18117 Muldrow Street","Anchorage ",AK,99577,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
64,"3871 Galactica Drive","Anchorage ",AK,99517,Anchorage,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",2
65,"117 East Cook Avenue","Anchorage ",AK,99501,Anchorage,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
66,"6740 Dickerson Drive","Anchorage ",AK,99504,Anchorage,Hiking,NO,"Lodging, RVs, Tents",Forest,2
67,"22649 McManus Drive","Anchorage ",AK,99567,Anchorage,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
68,"4108 Kogru Place","Anchorage ",AK,99577,Anchorage,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",2
69,"5436 Dorbrandt Street","Anchorage ",AK,99518,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
70,"2740 Collie Hill Way","Anchorage ",AK,99504,Anchorage,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",2
71,"8043 Cranberry Street","Anchorage ",AK,99502,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
72,"2806 Bass Street","Anchorage ",AK,99507,Anchorage,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
73,"3404 Lakeside Drive","Anchorage ",AK,99515,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
74,"3101 Penland Parkway","Anchorage ",AK,99508,Anchorage,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",2
75,"6851 Howard Avenue","Anchorage ",AK,99504,Anchorage,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",2
76,"875 Latouche Street","Anchorage ",AK,99501,Anchorage,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
77,"2849 Leawood Drive","Anchorage ",AK,99502,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
78,"24020 Reese Road","Anchorage ",AK,99567,Anchorage,Hiking,YES,"Lodging, RVs, Tents",Forest,2
79,"816 West 19th Avenue","Anchorage ",AK,99503,Bethel,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
80,"2613 Cottonwood Street","Anchorage ",AK,99508,Anchorage,"Climbing, Hiking",NO,"RVs, Tents","Forest, Mountains",2
81,"12725 Landmark Street","Anchorage ",AK,99515,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
82,"3521 Stargate Circle","Anchorage ",AK,99517,Anchorage,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",2
83,"16244 Seville Park Circle","Anchorage ",AK,99516,Anchorage,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",2
84,"1841 Logan Street","Anchorage ",AK,99508,Anchorage,Hiking,NO,"Lodging, RVs, Tents",Forest,2
85,"51185 Helmsman Street","Kenai ",AK,99611,"Kenai Peninsula","Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
86,"2040 Innes Circle","Anchorage ",AK,99515,Anchorage,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",2
87,"5927 Camrose Drive","Anchorage ",AK,99504,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
88,"1613 Katrina Circle","Anchorage ",AK,99508,Anchorage,"Climbing, Hiking",NO,"RVs, Tents","Forest, Mountains",2
89,"7321 East Chester Heights Circle","Anchorage ",AK,99504,Anchorage,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",2
90,"8800 Cordell Circle","Anchorage ",AK,99502,Anchorage,Hiking,YES,"Lodging, RVs, Tents",Forest,2
91,"5412 East 22nd Avenue","Anchorage ",AK,99508,Anchorage,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",2
92,"716 O Street","Anchorage ",AK,99501,Anchorage,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
93,"632 North Pine Street","Anchorage ",AK,99508,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
94,"3302 Woodland Park Drive","Anchorage ",AK,99517,Anchorage,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",2
95,"1334 East 14th Avenue","Anchorage ",AK,99501,Anchorage,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
96,"1200 S Street","Anchorage ",AK,99501,Anchorage,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
97,"19141 Pine Ridge Circle","Anchorage ",AK,99516,Anchorage,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",2
98,"1401 Cordova Street","Anchorage ",AK,99501,Anchorage,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
99,"2815 Blueridge Place","Anchorage ",AK,99504,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
100,"2307 East 72nd Avenue","Anchorage ",AK,99507,Anchorage,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
101,"2140 East 56th Avenue","Anchorage ",AK,99507,Anchorage,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
102,"2620 West 33rd Avenue","Anchorage ",AK,99517,Anchorage,Hiking,YES,"Lodging, RVs, Tents",Forest,2
103,"9101 Vanguard Drive","Anchorage ",AK,99507,Anchorage,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",2
104,"743 East 9th Avenue","Anchorage ",AK,99501,Anchorage,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
105,"2631 Northrup Place","Anchorage ",AK,99508,Anchorage,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",2
106,"36528 Short Circle","Kenai ",AK,99611,"Kenai Peninsula","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",0
107,"1810 Orchard Place","Anchorage ",AK,99502,Anchorage,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
108,"7230 Montagne Circle","Anchorage ",AK,99507,Anchorage,Hiking,YES,"Lodging, RVs, Tents",Forest,2
109,"3504 East 16th Avenue","Anchorage ",AK,99508,Anchorage,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",2
110,"3784 Milky Way Drive","Anchorage ",AK,99517,Anchorage,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
111,"25721 Berryhill Road","Anchorage ",AK,99577,Anchorage,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",2
112,"5754 Belleau Drive","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
113,"100 Lake Forest Drive","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
114,"2269 Eastern Boulevard","Montgomery ",AL,36117,Montgomery,Hiking,YES,"Lodging, RVs, Tents",Forest,38
115,"403 Turkey Creek Road","Mathews ",AL,36052,Montgomery,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",38
116,"2534 Willena Avenue","Montgomery ",AL,36107,Montgomery,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",38
117,"74 Ranch Drive","Montgomery ",AL,36109,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
118,"7737 Wynlakes Boulevard","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
119,"2044 Bullard Street","Montgomery ",AL,36106,Montgomery,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",38
120,"1227 Aaron Street","Montgomery ",AL,36104,Montgomery,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",38
121,"5331 Rexford Court","Montgomery ",AL,36116,Montgomery,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",38
122,"4513 Beth Manor Drive","Montgomery ",AL,36109,Montgomery,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",38
123,"8101 Vaughn Road","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
124,"5470 Atlanta Highway","Montgomery ",AL,36109,Montgomery,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",38
125,"323 Randolph Street","Montgomery ",AL,36104,Montgomery,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",38
126,"368 Winthrop Court","Montgomery ",AL,36104,Montgomery,Hiking,NO,"Lodging, RVs, Tents",Forest,38
127,"5370 Business Park Drive","Montgomery ",AL,36116,Montgomery,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",38
128,"9457 Winfield Place","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
129,"940 Ironwood Drive","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
130,"4010 Governors Drive","Montgomery ",AL,36111,Montgomery,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
131,"3300 Gatsby Lane","Montgomery ",AL,36106,Montgomery,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",38
132,"2150 Yarbrough Street","Montgomery ",AL,36110,Montgomery,Hiking,YES,"Lodging, RVs, Tents",Forest,38
133,"915 Heath Drive","Montgomery ",AL,36108,Montgomery,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",38
134,"487 Maury Street","Montgomery ",AL,36104,Montgomery,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",38
135,"5814 Carriage Brook Road","Montgomery ",AL,36116,Montgomery,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",38
136,"6045 Camelot Court","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
137,"4216 Park Boulevard","Montgomery ",AL,36106,Montgomery,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",38
138,"4339 Oak Street","Montgomery ",AL,36105,Montgomery,Hiking,YES,"Lodging, RVs, Tents",Forest,38
139,"137 Gazebo East Drive","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
140,"631 North Eastern Boulevard","Montgomery ",AL,36117,Montgomery,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
141,"7057 Old Southwick Place","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
142,"1850 Berryhill Place","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
143,"3100 Don Juan Court","Montgomery ",AL,36110,Montgomery,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",38
144,"4350 Woodley Square","Montgomery ",AL,36116,Montgomery,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",38
145,"3808 South Smiley Circle","Montgomery ",AL,36108,Montgomery,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",38
146,"2013 Talbot Terrace","Montgomery ",AL,36106,Montgomery,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",38
147,"1631 Madison Avenue","Montgomery ",AL,36107,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
148,"4960 Paddock Club Drive","Montgomery ",AL,36116,Montgomery,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",38
149,"1931 Beauvoir Lake Drive","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
150,"8509 Olde Gate","Montgomery ",AL,36116,Montgomery,Hiking,NO,"Lodging, RVs, Tents",Forest,38
151,"320 Union Station Way","Calera ",AL,35040,Shelby,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",9
152,"650 Malvern Street","Montgomery ",AL,36108,Montgomery,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",38
153,"105 Courtland Drive","Montgomery ",AL,36105,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
154,"2306 Edinburgh Drive","Montgomery ",AL,36116,Montgomery,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",38
155,"2032 Gorgas Street","Montgomery ",AL,36106,Montgomery,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",38
156,"1320 Dunbarton Road","Montgomery ",AL,36117,Montgomery,Hiking,YES,"Lodging, RVs, Tents",Forest,38
157,"4132 Carmichael Road","Montgomery ",AL,36106,Montgomery,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",38
158,"4328 Brewer Road","Montgomery ",AL,36108,Montgomery,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",38
159,"1114 Barley Drive","Montgomery ",AL,36111,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
160,"9200 Gainswood Circle","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
161,"2441 Chase Park Drive","Montgomery ",AL,36110,Montgomery,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",38
162,"4560 Hurlston Drive","Montgomery ",AL,36116,Montgomery,Hiking,NO,"Lodging, RVs, Tents",Forest,38
163,"6013 Cherry Hill Road","Montgomery ",AL,36116,Montgomery,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",38
164,"2500 Snowdoun Chambers Road","Montgomery ",AL,36105,Montgomery,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
165,"6725 Pamela Court","Montgomery ",AL,36116,Montgomery,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",38
166,"147 Willow Ridge Lane","Indian Springs Village ",AL,35124,Shelby,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",9
167,"3466 Southview Avenue","Montgomery ",AL,36111,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
168,"7030 Cotton Blossom Lane","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
169,"65 Jones Lane","Montevallo ",AL,35115,Shelby,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",9
170,"618 Watts Street","Montgomery ",AL,36104,Montgomery,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",38
171,"3951 Kimberly Street","Montgomery ",AL,36116,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
172,"142 Ash Drive","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
173,"707 Pinkston Street","Montgomery ",AL,36109,Montgomery,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",38
174,"8852 Broderick Street","Montgomery ",AL,36117,Montgomery,Hiking,YES,"Lodging, RVs, Tents",Forest,38
175,"8700 Seaton Boulevard","Montgomery ",AL,36116,Montgomery,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",38
176,"12371 Atlanta Highway","Montgomery ",AL,36117,Montgomery,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
177,"2113 Bowen Drive","Montgomery ",AL,36106,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
178,"3436 Lexington Road","Montgomery ",AL,36111,Montgomery,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",38
179,"8820 Vaughn Road","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
180,"4604 Virginia Loop Road","Montgomery ",AL,36116,Montgomery,Hiking,NO,"Lodging, RVs, Tents",Forest,38
181,"1430 East Audubon Road","Montgomery ",AL,36111,Montgomery,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",38
182,"324 East Drive","Montgomery ",AL,36113,Montgomery,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",38
183,"132 Tensaw Road","Montgomery ",AL,36117,Montgomery,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",38
184,"642 Sagamore Drive","Montgomery ",AL,36109,Montgomery,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",38
185,"689 Stableway Road","Pike Road ",AL,36064,Montgomery,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",38
186,"313 Monroe Street","Montgomery ",AL,36104,Montgomery,Hiking,NO,"Lodging, RVs, Tents",Forest,38
187,"2246 West Fairview Avenue","Montgomery ",AL,36108,Montgomery,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",38
