observed,county,state,season,confirmed_sighting
"My two children and I were returning from Altus,  Oklahoma to Burns Flat, Oklahoma in the fall of 1973 when a very large black man-like creature crossed the highway moving from west to east. I was driving and my son (age 11) was sitting in the front seat beside me and my daughter (age 12) was sitting in the back seat leaning forward between the driver and passenger seat. It was a clear sunny day about 3 PM and there was a lull in the conversation. It was quiet in the car, we did not have the radio on and all three of us were happened to be looking straight ahead. I noticed a movement on the left side of the road and was amazed to see a what I percieved to be a very large black man-like creature rise from a squatting position and run across the two lane highway about 30 yards ahead. It ran across the highway, covering the distance in only three steps, I estimate the creature to have been at least 8 feet tall, it glanced briefly in the direction of the car and I instictively applied the brake so as not to hit it. It ran into the bar ditch on the east side of the road and ducked into some brush and large bushes between the ditch and the barbed wire fence. It had hair that looked rather silky as it ran, I remember seeing the hair move as it ran. The hair did not appear to be stiff like an animals hair but more soft and shiny. Both children saw it too and said ""What was that, mama?"" I said I didn't know, they wanted me to stop the car, but I was frightened that my children and I could be harmed by something I had never seen before in my life. I didn't tell anyone what I had seen and cautioned the children not to say anything either.",Washita County,Oklahoma,Fall,yes
"I was staying the night with a friends of mine. It was late at night we were watching TV waiting on his parents to come home. We heard a noise out front and I looked out the window in the door to the mobile home. A large face was looking in the window. The face had a very heavy brow with deepest eyes, the nose was wide and flat with flared nostrils. The lips were thick and rubbery looking with thick block like teeth. The hair was about one inch long on the face and it sweptback from the brow with a large lump standing up on the top of the head. The head sat on the shoulders with no sigh of a neck. It let out a scream and it pushed off from the door. My friend grabbed his 22 rifle and we went out the back door in time to see it step NOT JUMP but step over a 3 strand barb wire fence and run in a hunched over motion with it's arms swinging it's hands below it's knees. The next day we looked for tracks but found none. We did measured the distance from the ground to the window of the door (there was no front steps) 7'6"".",Washington County,Ohio,Summer,yes
"Well last year I was night fishing 9/2010 at Amawalk Reservior SOMERS NY about 30 minutes from PAWLINGS I was fishing with my buddy..the reservior was about 100ft into the lake before you got to water .....about 5am sun was coming out..when a 5 foot maybe 5 1/2 ft man  or Big Foot came out of the woods washed its face and drank some of the reservoir water..he looked like something out of the old school ""Planets of the Apes"" chimps..I said to my buddy ""you see that?""?he said yes ..Now on Animal Planet there showing a clip of a Big Foot that has been seen in these areas (Lower Hudson Valley)..So I'm puzzled to think what I saw was a Big Foot....so this my account of what I saw..and we didn't catch crap at night..anybody ever run into anything like this??... This was my post on www.westchesterfishing.com Low and be hold another member at the same reservior..Columbus day 2011..this is his post..Hey Guys, I put at Amawalk this summer and about the 5th time I took it out in early October.  I saw two upright walking chimp looking things walk out of the woods and crouch down and drink from the res, run back in to the woods and then do the same thing again.  When they came out the second time one of them threw it's arms in the air while squatting and then they ran back into the woods.   The second one went back slowly.  It seemed like they saw something in the water right in front of them.  That was right when the sun came up.  I haven't been back to my boat since.  I have no idea what they were and looked like two large chimps to me.  Maybe some guy who lives there has two monkeys or something?  I have no idea.  But I saw something that I can't explain, it has been eating away at me since.  When I saw the preview for that show I almost shat myself.  When Biggame posted here I didn't want to say that I saw something because I'm from Oregon and my hunting and logging part of the family thinks they know where they live but none of them have never ever seen them just have stories, just like everyone else in Oregon.  Then I saw what I saw in October and have been denying it to myself ever since.  I absolutely hope that someone owns two monkey's on the Amawalk. I have no reason to say something like this.  Before October I could have cared less if bigfoot existed, now I'm a bit curious.  I own a fishing rod company and have business to lose from people thinking I'm crazy for posting this on here.  This is a nothing to gain and allot to lose situation for me but, I had to say something when Biggame posted.  Let me be clear in saying that I saw something too.  I have no idea what they were and would need absolute proof that bigfoot existed before I would ever say thats what they were. So two seperate sightings same place different year..I BELIEVE!!!",Westchester County,New York,Fall,no
"This may not even be relevant now because it happened so many years ago, but when I was about 10 years old my sister and I were out in our yard playing a yard dart game ( the kind where you throw the plastic flower onto a stake in the yard) the only reason I mention what kind of game it was is to let you know how vivid this still remains in my mind. But anyway, we were playing in the yard it was close to getting dark but still daylight enough so that you could still see.  I don't quite remember if I heard a noise or what made me look across our road but when I looked, across the road on the edge of the woods I saw an image, similar to drawings I've seen of actual encounters.   It was walking at the edge of the woods kind of stooped over, using its hands to push the trees back out of its way.   All I could do was just stand there and look at it not really knowing what I was seeing.   I really don't know how long I stood there but I remember yelling at my sister who was then 7 years old, and telling her to run into the house.   She then looked and saw the same thing. As soon as I yelled at my sister it stopped dead in its tracks and just stood there and looked at us.   My sister and I still remember the feeling of not being able to move, and to this day we still get cold chills and our eyes water every time we talk about this. So anyway we eventually ran inside the house.  When we got in the house I remember my mom asking what was wrong because she said that both of us were as white as sheet.  We then went on to tell her what we had seen and were terrified to have her go outside  and check things out. Neither one of my parents ever saw anything but still to this day say they believe we did see something, whether it was someone playing a joke or possibly a bear but I still think to this day that it was Bigfoot or something similar.",Washington County,Ohio,Summer,yes
I would like to share with you what I saw as a boy. I saw a Bigfoot standing over our burn barrel. I remember being very young when this happened. But I have never forgot what I saw. It was strong and tall but not real tall.  Maybe six foot ten to seven feet tall. It had a smell to him I will never forget. I knew he was still there down in the hollow where I was raised as a child. When we would cut firewood in the saw mill he would make us feel weird like he didn't want us there. My mom would say start the truck and don't stop until we get to the top of the ridge. We found footprints one winter that were very wide at the heel and very large in size like 17-20 inches long. I hope someone hears what I have to say. I would love to talk to someone about this. I know he is still there! It's a perfect place for him to live with so much forest and hills.,Washington County,Ohio,Winter,yes
"It was July 4th, 1984. I was 17 and between my junior and senior year of high school. I went to the fireworks in Beverly, Ohio and had met a young lady (sorry I don't recall her name) who was staying with some friends that lived near Churchtown. We watched the fireworks, then I offered to drive her home. I don't know the township road, but it is off state Route 676. We parked for a while then drove on to where she was staying. On the way to the house she had fallen asleep with her head in my lap, so she didn't see a thing. As I drove about 15 mph along these backroads, I rounded a slight turn where the banks on either side rose about six feet. On both sides of the road were fence and cornfields. Then, on the left side of the road behind the fence was a large hair covered, gray or white colored figure standing by the fence line. I was stunned and didn't say a word and just kept driving along slowly looking at this thing. As I went by it just looked at me. I didn't have a clue what to do, so I kept going. When I looked in the rear view mirror I saw it turn and go back into the cornfield. I didn't tell anyone for a while, but eventually told a couple friends who just smiled.",Washington County,Ohio,Summer,yes
"My two brothers, cousin, and I were out playing a little war game with our toy guns. We ranged from the ages of  8 to 14 me being the oldest. We divided up in teams of two, my brothers were on a team and were going to go hide to which me and my cousin would try and find them after giving them some time to hide. We heard them scream and we stood up and were kinda worried because we were on the opposite side of the house than them. So we got up to make sure they were all right, but they came around the house before we could get to far. They went on to tell us that they heard something really big running in the thick patch of woods. My brother was going into the thicket to hide. When he started in that's when he heard something take off running. The sun was about to disappear as night grew nearer and he was still spooked from the noise he heard and refused to go hide anymore. I just thought that it was probably a deer since our area is very populated with them. So we got off the porch and was walking around the corner of the house when I looked up towards the road. Now to give you a brief description of the terrain. From where the thicket ends there is about 20 yards of short mowed grass which meets up with State Route 550 then on the other side of the road it slopes down fairly sharp and then into a cornfield. As it was striding across the road is where I saw it. It's arms were swaying back and forth and I remember the hair hanging from its arms. The body was very thick, thicker than any human body I've ever seen. The head looked like it ended in a point rather than a rounded head like a humans. It seemed to run in slow motion as I stood there in amazement. It went over the bank when it got to the other side of the road. We jumped up onto the porch and went inside to tell my dad. He just laughed at us and so have most people that I have told this to since then. I can still see that image in my head as if it just happened.",Washington County,Ohio,Summer,yes
"After getting online to your site we decided to go to a known sighting area as an afternoon excursion since the day was nice.  After walking up several steep inclines and falling often we came up to another ridge that was very difficult to climb for us. We spotted a foot print actually my boyfriend did. I knew he had found something when he called for me to come quick and climb up the last area. I climbed up and there it was a foot print.  I did not really believe in Bigfoot but now we are having second thoughts. Mind you we drove two hours one way, and walked for at least hour up hill off the trails.  We even went back the next day which was today 11/1/09 and made a cast of the print. Of course it was not as deep as yesterday but we still took the print and have pictures from yesterday on the cell phone.",Washington County,Ohio,Fall,no
A large Man like creature covered in hair nearly seven foot tall covered in hair with a gait nearly four foot in length. The stories abounded while we were in school and many sightings would be seen during the begining and near the end of deer season.,York County,Pennsylvania,Summer,yes
"I've told very few people this story for fear that they might think I'm crazy. The only reason why I'm taking the time to report this is because of a recent entry a friend of mine who knew my story told me about. My story takes place in Charlestown, Rhode Island in the late 1970's. My mother and father and I lived in a wooded area abutting the ""Indian Cedar Swamp"" and property owned by United Nuclear which probably comprises several thousand acres. The property surrounding our home was mixed  white Atlantic juniper swamp,scarlet, red and white oaks with old growth white pine stands mixed in, with a dense understory of briars, mountain laurel and blue berry brush. We lived off a road with 3 houses on it. The houses were all built close to the entrance of this development. The road was part of a series of roads that were put in as the start of a development. The roads were oiled gravel and had been left to grow in after years of little or no use. It looked like the developer had started and went belly-up. These roads were great to ride bikes on or take a evening cruise on after bringing my father dinner at his second job. My mother drove a baby blue Mustang Mach 1 and she would drive around the roads with me looking at deer before we retired to our home for the evening. As a kid I remember this being a highlight to the evening. I was at the time maybe 8 years old and my mother and I on this particular night in the late 70's commenced our ride around the roads to see if we sould see any deer. It had been raining earlier with thunder and lightning mixed in. Now it was just raining. We were rounding a corner on one of the roads that paralleled the Indian Cedar Swamp and as we started downward,  we noticed the road was obstructed by a large blown down oak tree, the tree had green leaves (this makes me think it was summer or the early fall) on it so it had recently come down, we guessed maybe in the storm earlier(possibly lightning). The road was very narrow and the brush along the side of the road made it difficult to back the car around to turn around. The rain was falling but not heavy, the wipers were on, the headlights on the car were on as well. As my mother turned the front end  of the car the lights cast on the left side of the road where the tree had been broken off from its stump. We were maybe 1 1/2 car lengths from the stump. Beside the tall fractured stump stood what looked like a large white(yellow white) ape. It was maybe 6 to 7 feet tall, its hair was long, face flat, long massive arms, its head appeared to be without any neck, its chest was broad. My mother and I froze momentarily (5 seconds, maybe 10) and the figure remained still, staring at us. My mother floored the car into reverse. I remember ther terror of it all. The sound of gravel hitting inside the fender wells, the sound of the brush crushing against the car and then the acceleration as she sped off. We were clear as to what we saw and we have no question in our mind that we saw something or someone in ape like shape that night. This we are certain of. We need no one to tall us what we saw, it's crystal clear. For years we told no one. We would talk about it in our home in privacy and even my father found this story hard to accept. We've never forgotten this and this story would have never been told if it wasn't for someone else informing me of a similar sigthing. I'm now in my 30's an extremely active hunter, farmer and woodsman. I hunt deer 40 days a year in Maine, RI, CT and New Jersey. I use automated cameras which are triggered by heat. I've never seen a picture of a bigfoot on my film. I have seen pictures of deer on my 50 acre tract of land that I would never believe are there if I didn't see it on my film. I know every inch of my land and the surrounding property and these mystery deer show up at all hours on my cameras and frequently at that. How can they move right around our hunting parties in such a small area and never be seen, I'll never know, Even today I find it hard to accept what we definitely saw. I'm not a fan of ghosts, UFO's or even big foot. I'm not sure to this day what I saw wasn't a man in a costume, dressed up, out in rainstorm, a half mile or more from any home, waiting for my mother and me to drive down the road to give us a scare. The only thing I can say is it was a damn' good costume and a damn' good plan. We saw what we saw and this is something I would sware to on any polygraph test as I'm sure my mother would.",Washington County,Rhode Island,Summer,yes
"I have recently become very interested in bigfoot research, and based on reports that I found on this website of previous incidents in the area, decided to go to Great Swamp in Rhode Island to look for any evidence of bigfoot. After walking thirty to forty minutes down the main trail beginning from Great Neck Road, I took a smaller path off of the trail for about five minutes. That is when I noticed a young tree that was snapped in half at about six feet off the ground. More noteworthy, however, was a stick formation that I found a little bit farther down the path on a slightly elevated area of land. It was small, maybe three feet high, but constructed in the same woven-looking manner characteristic of other possible bigfoot stick formations. Other than that, I did not find anything else unusual. It may not be extremely compelling evidence, but I figured it was worth telling experts, who could then take it as far as they saw fit.",Washington County,Rhode Island,Fall,no
I was walking in the [power line cut] near Daimler Blvd. At around 2:00 PM today I heard loud knocking sounds come from [both sides of cut]. It didn’t sound mechanical but like wood on wood.  Each time I heard one I would then hear another as if in response.,York County,South Carolina,Summer,no
"When I was a boy, about 10 years ago, I was walking in the snow one morning on my Grandmother's farm.  I came across some footprints in the snow that would be appoximately the size and shape of an adult human's foot, but with one exception.  Both feet had only four toes. The area is rural, but is populated and this particular area is in an open field that is in plain view of a well-traveled road.  Similar tracks appeared in the snow the following year.  Unfortunately I was too young to drive to the store for film and no one else in my family seemed to care about my findings.  Several years later, approximately 1993-1994, I had another strange experience on our small farm.  I never connected the two events until reading some other stories on your web-site.  One night I stepped out of our house into the car-port.  The car-port was brightly illuminated, but none of the other exterior lights were on.  This made it impossible to see outides the perimiter of the car-port.  As I stepped out of the house, something screamed at me from the darkness, a screma like I had never heard.  It was not human, it was too wild, but it sounded more human than animal.  It seemed to be both a warning and a scream of terror.  I was told that it was probably a wildcat, but never believed it to sound like a cat at all.  I wasn't aware that screaming was associated with bigfoot.  I am now wondering if the number of toes I mentioned earlier is in order?",Wilson County,Tennessee,Winter,no
I heard a series of screams/howls that are not of ANY animal I know to be in the state of TN.,Wilson County,Tennessee,Fall,no
"Yesterday,I ,my dad,my son,and his Friend, went up to our farm in Wilson County to do some bush hogging and prepare our deer stands for the up coming season..The kids asked if they could walk the logging road to see if they could see any deer or turkeys while me and my dad bush hogged the fields. About 20 minutes went by and I see my son and his friend running towards the tractor out of breath..""Dad,i don't care if you believe me or not but what we just saw...I never want to see again!""..His friend said she saw it first. This is the story they have repeatedly told me all afternoon yesterday and this morning- They were walking the logging Rd,and my son started hearing these loud crashes in front of them to the right coming towards them,He said he stopped and felt ""Very uneasy"" about going any further,to which he told his friend ""he wasn't going any farther and she could if she wanted""..She walked around the bend of the road,come walking fast back to him  and says ""There was this thing looking at me behind a tree,swaying left to right,as if to see what she was..It leaned as if to be curious..So, She,not wanting to show it any harm by running or sudden  movement,afraid it would chase her,just turned and walked fast back to my son,and told him ""There is something huge and black standing around the corner""...My son started walking with her and turned back to see if he could see anything and it had came around the corner and was staring at them..He said it was between 7-8ft tall,had blackish/brown,almost like a turkeys feather color when the sun is not shining on its feathers, and had HUGE muscles showing through the fur,he especially notice how broad the shoulders were and how muscular the arms were.At that time they started running as fast as they could until they got to the field i was cutting.. I eventually got in my truck and drove to the spot/area they said this all happened..The woods were a ""dead quiet""..No Tracks were found,i did not smell any foul odor,as i have heard this animal has, plus a storm was approaching so i had to get back and put the tractor up. My son,who is sitting beside me as i type this,says ""I just don't feel it meant any harm,it was puzzled as why we were there."" There were men cutting hay on the next farm over which had not been done in quite a while.There is no hunting,no more cattle,that place is not disturbed at all,so maybe it came from there?? What makes me believe even more is that my son LOVES hunting and that farm,but now says he is not coming up unless he has protection(Gun)and will not walk the place alone.Whatever this was or whatever happened to them has changed them.The friend,which said she doesn't believe in Bigfoot,now is a firm believer. My son's words-""It wasn't scared of us,but we sure were of it!""",Wilson County,Tennessee,Summer,yes
"Driving back to property on Beech Log Road, saw a black stocky figure crossing a bridge. Arms were swinging widely. Dark black. Could not see face. cone shaped head. Saw from the creatures left side as we drove. Creature was partially obscured by a post on the bridge.",Wilson County,Tennessee,Fall,yes
"I was hunting hogs and felt I was being watched all day. I turned around to go back to the truck. It was sitting beside a tree. It stood up and I looked at it through a scope. It walked away like I was not even there. [It was] big, very big. The hair on it was dark brown, close to a chestnut horse. The hair was long and matted. The face had no hair on it. It looked almost soft. It eyes were big and brown, very soft and thoughtful like it was working things out. I wished I could draw to show what I mean.",Wood County,Texas,Winter,yes
"My husband works on a huge ranch (about 750 acres) outside of Quitman Texas.  The area is heavily wooded.  He often has to trap wild hogs on the property because they tear up and root up everything.  Anyway, he was at the very back of the property checking traps and he saw something run behind a tree.  It was very big, hairy, and running on two feet.  He said the color was charcoal gray and it was about 6 feet tall.  He did not see it again after it hid behind the tree because he left the area immediately.  It really scared him and he says that it reminded him of a huge monkey or ape.  The area that this took place is very secluded with nothing but thick woods all around.",Wood County,Texas,Spring,yes
