ENC_ID,ENC_COMMENTS,LOC_DEETS,ENC_COUNTY,NUM_ENC,ENC_STATE,STATE_ABRV,ENC_SEASON,FIPS,CONFIRMED_SIGHTING
11,We were riding along cherokee road in Prescot  a comunity near Moody Al.when rounding a curve we saw what looked like an ape man but humanlike exept for the hair which was all matted and black.it was about 7ft tall and had long arms my wife and I turned around but it was gone. ,there is a boys home about a half a mile on the right from were we saw this creature. ,St. Clair,10,Alabama ,AL,Summer ,1115,yes
12,My husband  myself and my husbands friend were walking on a narrow trail to Salt Creek Falls near Talladega National Forest. I stopped on the trail when I smelled a foul smell. We did not see or hear anything at this time. We walked down to the falls the water was very low so we walked out onto the large rocks to sit  we sat talking for about 30 min. I heard a sound like trees moving then I heard nothing else so we were on our way out when we saw a very large footprint in the sandy creek bank. It was approx. 18 inches long and about 7 inches wide it had very pronounced toe prints. ,Salt creek falls close to Cheaha State Park ,Talladega,3,Alabama ,AL,Summer ,1121,no
13,Every year me and a group of my friends camp in cheaha state park. Year before last  we where sitting outside our tent around the camp fire and it was about 11 00 at night. We where the ONLY ones in that camp site  so it was very quiet. We started to hear stange low noises almost like an old chainsaw trying to crank. Following that was a very high pitch humming noise. The sound was getting closer and closer. We took out our spot light and scanned the woods. What we saw was very disturbing....it appeared to be an up right figure  that was hairy and had a grey tent to its fure. It was standing behind a tree and was slightly hunching over  like it was hiding from us. We could see its back bowing out of the right side of the tree and its head coming out of the left. Theirs no doubt in my mind that it was an ape-like creature. It stood still for about 30 to 60 seconds. Then we decided to take the light off of it  to maybe see if it would move....about 10 seconds later we turned the light back on and it was gone! The next night we heard two seperate creatures but neither showed up. ,cheaha state park ,Talladega,3,Alabama ,AL,Summer ,1121,yes
14,I heard my dogs barking and howling outside. I got my flashlight and opened my door to look out. As I was scanning the woods  my light caught two sets of eye shine. One was approx. seven to eight feet off the ground standing beside a tree. The other was around six feet off the ground standing on the other side of the tree. They were around 15 to 20 feet inside the wood line. It scared the crap out of me  every hair on my body stood on end. This sorta stuff has been going on for the past three years. My dogs start barking every night around 9 30 to 10 00 pm. ,Omitted to protect privacy. ,Talladega,3,Alabama ,AL,Summer ,1121,yes
15,It was late June and I was driving home around 2 00 in the morning on a dirt road I use for a short cut from a friends house. It was dark  and cloudy I guess because there was no moon or stars out. I had just crossed over the creek and around a few curves when I saw something huge close to the side of the road. As I proceeded to get closer I turned on my brights. I realized this thing was standing on two feet  and kinda hairy  but looked as if it were humanlike. It looked to be 9 or 10 feet tall  larger that anything I wanted to stop for.  Its back was turned to me as if my lights were blinding it. This was like no human I had ever seen. I pushed the gas pedal as hard as I could  swung the car to the far left  and went around the thing as fast as I could. I never looked back  my heart was pounding because I was so frightened. It was enormous.   I had never really seen anything like that before. I had wondered if my mind was playing tricks on me because I was tired. I never mentioned this incident to anyone I just stopped traveling the road. Up until just a few weeks ago I wouldn  t ride down this road even in the daylight. The reason for me to go back was absolutely amazing. My father  made a discovery of his own. Large footprints  feces  and a trail into the woods not far from where I had seen this  thing . I mentioned my story (about that night) to my parents when they told me about the discovery they had made. I went to the place with them to help cast the prints  take pictures  and collect some of the feces. If it hadn  t been for their discovery  no one would have ever known what I had seen. I still don  t travel that road at night  but have become braver to do it during the day. ,Withheld at witness   request ,Tuscaloosa,4,Alabama ,AL,Summer ,1125,yes
16,My husband and some others were preparing a field for planting when he noticed a pile of pooh in the field.  He walked over to it and stated that he wondered what might have made such a large pile. As he looked around for horse or cow tracks  another person walked over to look at it and said  Look at the size of these foot prints .  They all began looking around and found tracks coming out of a grassy area onto a dirt road. The tracks went about 20 feet then turned left into the freshly plowed field (plowed the day before).  They proceded about 30 feet into the field. There you could tell where it paused to squat repositioning it  s feet to do so and did it  s business. While in this position it dug up some turtle eggs in front of it and ate them leaving broken shell behind. The feces were the consistancy of horse droppings in that they were of high fiber content and contained undigested muscadines(a kind of wild grape). But the droppings weren  t in the shape of horse manure (round ballshaped piles) but were long and cylindrical like that of a dog or human. The  feces(2) were about 18-24 inches long and about 2 1/2-3 inches across. Rather large I must say.    The tracks then turned left again into an area of tall grass  small pines and other small trees that lined a field at the edge of the woods. I wasn  t able to follow them very far due to dead branchs  briars and undergrowth that blocked my progress. Plus I was wearing only sandals  shorts  and a tank top. Not prepared to trek through the woods. I took pictures of the  tracks and the feces with a yardstick for size comparison. I also took a specimen of the feces and turtle egg shells which are still in my freezer. I have a cast of a left and right foot. The right one broke trying to pick it up but is still n pretty good shape. The left one is completely intact.  They measure approx 18 inches long  8 inches wide at the toes and 4 1/2 inches at the heels. The stride measured 3 feet from the toe of one foot to the heel of the next step. Each foot has 5 toes. A humanlike large toe on the inside of the step and each toe following being smaller than the last. There is an arch to both  showing it is not flatfooted. I took these samples to the Univesity of Alabama and showed them to a professor who is an anthropology professor in forensics. I walked away disappointed to hear him insist that what I had were Bear tracks. But he had been on a bear trip since I had spoken to him a few days prior about my find. When I arrived at his office  before he even looked at the cast he was talking bears and showing me books and pictures of bears and bear tracks.  I tried to say Bears don  t have a Big toe  but he tried to make up reasons that these tracks of a  bear  had a big toe.  I realized this person was not going to believe what he was looking at was not a bear. It either frightened him to think it was a possible Bigfoot out there or he was embarassed to say he didn  t know what it was. Just a  Bear .  Well there is our encounter of a Track sighting.  When I was looking through the internet for sighting reports in the Alabama area I was excitedly surprised to find the one on your sight (report#245 Class A) which is in the same general area as ours. ,Withheld at witness request ,Tuscaloosa,4,Alabama ,AL,Summer ,1125,yes
17,Was driving home at night about 9 00 pm. Turned on Bone Camp road from highway 171 and saw a large figure standing in the brush. As I turned on my brights it had taken off in the brush. This is the second time I  ve seen this thing and a friend of mine who lives on Bone Camp has also seen it as well as finding strange tree formations and randomly snapped limbs. ,Take 171 from Northport  and Bone Camp is a right turn about 3 miles up. ,Tuscaloosa,4,Alabama ,AL,Spring ,1125,yes
18,It was around the year of 1990 or so. I was about 10 years old and i was outside playing with my dog and the area behind her pen was very wooded at the time and as i looked up behind the pen  there was a very large creature standing right at the back of the fence of her pen. It stood there staring at me. It was solid white and had long hair covering it  s body. It stood to be about 7 to 9 feet tall as i can remember  judging now by the trees and fence. As i seen this  i turned and started running down the hill in our yard and my brother was putting a radio in his car and he said that i was as pale as a ghost when he seen me. I was very scared  not knowing what this thing was. When he looked where it was  it was no longer there. ,Near Strip Pits and Highway 118. ,Walker,13,Alabama ,AL,Spring ,1127,yes
19,Back in 1990 i was having predation problems on some property i was leasing. something was killing and eating my chickens i was raising. so me and my friend bj decided to doa little varmit hunting. we set up in some tall sage grass in the field behind my home about 300 meters away. it was late evening and we got into position to do some calling with a fawn distress call i had brought along. we called on and off for several minutes with no results. so we decided to wait until just before dark to try again. we got to sitting there just listening and noticed something was walking just inside the woodline directly in front of us about 150 meters away. it had the rhythm of something bipdial not fourlegged. we were upwind so i waited to see what or who it was. it got so dark that couln  t see mpre than 25-30 meters so we decided to call it quits for the day. when we got upbj shined his 6 cell light at the woodline and we caught a glimpse of something stepping back and stopped looking back where it had came  about then we hears the same series of sounds and the deer rather than go back ran within 20 feet of us in the opposite direction. over the next few months there were no more sounds so we put it in the back of our minds and forgot about it. deer season came and we decided not to hunt the area alone but to go ahead a the same stench as the night months before and the closer we got to the place where the deer had been it got worse. upon arriving the deer was gone you could see where it had lain but it was nowhere to be found. there were no drag marks in the leaves so whatever had moved it had lifted it from the ground and carried it. there are no known predators here larger than coyotes or bobcats. the deer weighed around 100-125lbs so whatever it was was large. this all occured 1 1/2miles southeast of nauvoo alabama on property owned by greg b. ,1 1/2miles southeast of Nauvoo Alabama. ,Walker,13,Alabama ,AL,Fall ,1127,yes
20,I was driving south on Hwy. 45 just south of the Mississippi state line not very far into Alabama. I was driving my 18 wheeler and it was about 8 p.m. I had my brights on and a car was approaching so i dimmed the lights. After the car had passed by I turned the brights back on... I couldn  t believe at first what I saw. I had never heard of a blonde bigfoot but there it was. It was 7 feet tall or so and crossed a clearing in the woods that was at least 15 feet wide in two steps with a normal stride not running  just out for a stroll. It never looked my way. This took place in Fruitdale Alabama on a Friday night in February of 2008. I have learned that this creature has been seen for years close to this area. ,South on Hwy. 45 ,Washington,54,Alabama ,AL,Winter ,1129,yes
21,I was driving home from work in the afternoon and completely preoccupied with thoughts of my struggles. When my eyes caught something. However my mind was still not focused other than I was waiting for movement of sorts. Itâ€™s second nature to keep a eye out for deer in this area. When I finally noticed that I was looking at  something unusual.  I saw a tall hairy animal walking off into the woods (on two feet) from the road. It had long blonde to light brown hair all over. I never saw the face. I kept my eyes focused on the woods where it walked into. When I reached that spot I was completely shocked at the size that creature was. It had to be at least 9 - 10 feet tall. The only thing I could think of was Bigfoot. Note  I have never been a believer of Bigfoot before but what I saw that day is something I canâ€™t stop thinking about. ,This location is just north of the â€œY.â€ This is the intersection of Hwy 45 and Hwy 17. It is a wooded area with only an older house that has been vacant as long as I can remember sitting just north of the sighting. There are no other buildings that I know of in the area. ,Washington,54,Alabama ,AL,Spring ,1129,yes
22,First  my friend Mike and I  along with two girls  were at the city park and heard it from bellow from the hill behind us. Three days later we went back again and this time I saw it. I thought it was a tall pole but it looked to be wavering in the breeze that was blowing. I called Mike over to look but it wasn  t there. Then it caught my eye. We saw it walking up the hill where we had heard it earlier. My second sighting was at our family farm  three miles away from the first sighting. I and my friend Bill rode out to the farm that evening to check on things since nobody lived in the house there. As we turned into the driveway the headlights swung  and there it stood  stepping over a 5 strand barb wire fence. It had its hands on the top wire and was swinging its leg over. Its eyes glowed in the light like an animals. We left in a hurry. ,In and around Aliceville  AL.  in Pickens County. Both my sightings were near Lubbub Creek  which runs into Dead River and from there to the Tombigbee River. ,Pickens,4,Alabama ,AL,Fall ,1107,yes
23,My husband has described a hairy biped that has been seen by him on at least 2 occassions  and by his father on one occasion on Brindley Mountain in Morgan County Alabama. This biped is well known to residents of this side of the mountain. I have always been sceptible  thinking perhaps they are seeing bears or such. My husband is a seasoned outdoorsman however  and he rarely mistakes wildlife. In summer of 99  my husband was clearing land for a family member close to the bluff where sightings were reported off and on. I was sitting on a car watching him in a tree  (hes a tree surgeon). I happened to look off toward the tree line for no reason that I recall  and I saw perhaps several hundred feet off  a tall reddish manlike creature with no apparent neck  standing off in the shadows of the treeline. I looked up at my husband and gestured toward the area. Upon looking back  the creature was gone. My husbands nephew was also sitting next to me  and he saw the same thing I saw. I still to this day wonder what in the world I saw. I know bear  having seen many  and having travelled out west  and this was no bear. Since that incident  my husband was hunting  and he and his father saw from their tree posts the same creature. He would have to tell you the details. He has had I believe one other sighting  but there are many accounts within his family and surrounding neighbors on the bluff. I have heard screams late at night around 2 or 3 am  that no one can match them to any certain animal. They are very similar to sound files we have heard online. Very much like a bobcat/hounddog combo. It is like a howl scream very loud and drawn out. We continue to watch for further evidence  but have not had or heard of any activity for a couple of seasons to date. ,Off of Hiwaay 231South  out of Huntsville towards Arab. Take a right on Apple Grove road to Water Tower Road  Left onto Darden Drive that winds around to the property on the edge of the bluff  ,Morgan,17,Alabama ,AL,Summer ,1103,yes
